id,question,GT_Value,GT_Ref,GT_Explanation,answer_unit,Quote,Table,Figure,Math,is_NA,ensemble-all-majority_Value,ensemble-all-majority_Ref,ensemble-all-majority_ValCorrect,ensemble-all-majority_RefScore,ensemble-all-majority_NACorrect,ensemble-top3-majority_Value,ensemble-top3-majority_Ref,ensemble-top3-majority_ValCorrect,ensemble-top3-majority_RefScore,ensemble-top3-majority_NACorrect,ensemble-top5-majority_Value,ensemble-top5-majority_Ref,ensemble-top5-majority_ValCorrect,ensemble-top5-majority_RefScore,ensemble-top5-majority_NACorrect,qwen1.5-110b-bench_Value,qwen1.5-110b-bench_Ref,qwen1.5-110b-bench_ValCorrect,qwen1.5-110b-bench_RefScore,qwen1.5-110b-bench_NACorrect,qwen14b-bench_Value,qwen14b-bench_Ref,qwen14b-bench_ValCorrect,qwen14b-bench_RefScore,qwen14b-bench_NACorrect,qwen3-30b-a3b-bench_Value,qwen3-30b-a3b-bench_Ref,qwen3-30b-a3b-bench_ValCorrect,qwen3-30b-a3b-bench_RefScore,qwen3-30b-a3b-bench_NACorrect,qwen3-next-80b-a3b-bench_Value,qwen3-next-80b-a3b-bench_Ref,qwen3-next-80b-a3b-bench_ValCorrect,qwen3-next-80b-a3b-bench_RefScore,qwen3-next-80b-a3b-bench_NACorrect,qwen32b-bench_Value,qwen32b-bench_Ref,qwen32b-bench_ValCorrect,qwen32b-bench_RefScore,qwen32b-bench_NACorrect,qwen72b-bench_Value,qwen72b-bench_Ref,qwen72b-bench_ValCorrect,qwen72b-bench_RefScore,qwen72b-bench_NACorrect,qwen7b-bench_Value,qwen7b-bench_Ref,qwen7b-bench_ValCorrect,qwen7b-bench_RefScore,qwen7b-bench_NACorrect
q001,What was the average increase in U.S. data center electricity consumption between 2010 and 2014?,4,['wu2021b'],Quote,percent,1,0,0,0,0,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True,4,"[""wu2021b""]",True,1.0,True
q002,"In 2023, what was the estimated amount of cars that could be taken off the road equivalent to the amount of metric tons of CO2e the Amazon Solar Farm Maryland-CPV Backbone would avoid?",13900,['amazon2023'],Quote,cars,1,0,0,0,0,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True,13900,"[""amazon2023""]",True,1.0,True
q004,How many data centers did AWS begin using recycled water for cooling in 2023?,24,['amazon2023'],Quote,data centers,1,0,0,0,0,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True,24,"[""amazon2023""]",True,1.0,True,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True,4,"[""amazon2023""]",False,1.0,True
q005,"Since NVIDIA doesn't release the embodied carbon emissions of its hardware, what are the estimated embodied carbon emissions in kg per GPU?",463,['morrison2025'],Quote,kg/GPU,1,0,0,0,0,463,"[""luccioni2024"", ""morrison2025""]",True,0.5,True,463,"[""luccioni2024"", ""morrison2025""]",True,0.5,True,463,"[""luccioni2024"", ""morrison2025""]",True,0.5,True,is_blank,"[""is_blank""]",False,0.0,True,463,"[""morrison2025""]",True,1.0,True,463,"[""morrison2025""]",True,1.0,True,463,"[""morrison2025"", ""luccioni2024""]",True,0.5,True,463,"[""morrison2025""]",True,1.0,True,463,"[""morrison2025""]",True,1.0,True,463,"[""morrison2025""]",True,1.0,True
q006,By what factor was the estimated amortized training cost of GPT-4 greater than the total training budget for FLM-101B?,400,"['cottier2025', 'li2025a']","The cost for GPT-4 was $40,000,000, and the budget for FLM-101B was 100,000.Calculation:40,000,000/100,000=400.",ratio,0,0,0,1,0,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""li2025a"", ""cottier2024""]",True,0.3333333333333333,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""cottier2024"", ""li2025a""]",True,0.3333333333333333,True,400,"[""li2025a"", ""cottier2024""]",True,0.3333333333333333,True,400,"[""li2025a"", ""cottier2024""]",True,0.3333333333333333,True,400,"[""cottier2024""]",True,0.0,True
q007,What is the approximate CO2e for a single passenger round trip from San Francisco (SF) to New York (NY)?,1.2,['patterson2021'],Table,tCO2e,0,1,0,0,0,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True,1.2,"[""patterson2021""]",True,1.0,True
q008,"When evaluated on the Open LLM Leaderboard, what was the final average performance score achieved by the FLM-101B model?",43.94,['li2025a'],"Table 4, Quote",score,1,1,0,0,0,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True,43.94,"[""li2025a""]",True,1.0,True
q010,By how many fold did processor clock speed improve between the Intel 4004 (1971) and typical 2021 microprocessors?,6750,['wu2021b'],6750,fold,1,0,0,0,0,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True,6750,"[""wu2021b""]",True,1.0,True
q011,"How many days did it take to train GPT-3 using 10,000 V100 GPUs at 24.6 TeraFLOPS/sec?",14.8,['patterson2021'],Quote,days,1,1,0,0,0,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True,14.8,"[""patterson2021""]",True,1.0,True
q012,What is the estimated GPU Power Usage in kWh from SGLang benchmarking on 2400 prompts from ShareGPT at an 8 request/s frequency with a Llama 3.2 1B model?,0.036,['morrison2025'],Table,kWh,0,1,0,0,0,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.342,"[""jegham2025""]",False,0.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True,0.036,"[""morrison2025""]",True,1.0,True
q013,"What were the total permitted annual emission limits (in tons) for nitrogen oxides from data center backup generators in northern Virginia between January 1, 2023 and December 1, 2024?",13000,['han2024'],Quote,tons,1,0,0,0,0,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True
q014,A 2025 paper compares its training time to a from-scratch approach. What percentage of time was saved by using the growth strategy for the 101B model?,72,['li2025a'],Quote,percent,1,0,0,0,0,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True
q015,Approximately how many premature deaths in 2030 could be caused by scope-2 pollutants from U.S. data centers alone?,1300,['han2024'],Quote,deaths,1,0,0,0,0,1300,"[""han2024""]",True,1.0,True,1300,"[""han2024""]",True,1.0,True,1300,"[""han2024""]",True,1.0,True,,[],False,0.0,True,1300,"[""han2024""]",True,1.0,True,is_blank,"[""han2024""]",False,1.0,True,is_blank,"[""han2024""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,1300,"[""han2024""]",True,1.0,True,1300,"[""han2024""]",True,1.0,True
q016,Dodge et al. (2022) estimate that a full training run of the 6.1 billion parameter model would take approximately how many days?,60,['dodge2022'],Quote,days,1,0,0,0,0,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,8,"[""dodge2022""]",False,1.0,True
q017,"For the inference process, which model has the highest GPU energy consumption for 1,000 queries among those listed in the appendix of a 2025 study?",Command-R Plus,['luccioni2025c'],Table 2 in the Appendix shows the GPU Energy (Wh) for various models. The highest value listed is 3426.12 Wh for the Command-R Plus model.,is_blank,0,1,0,0,0,Command-R Plus,"[""luccioni2025c""]",True,1.0,True,DeepSeek-R1 (DS),"[""jegham2025""]",False,0.0,True,Command-R Plus,"[""luccioni2025c""]",True,1.0,True,is_blank,"[""jegham2025""]",False,0.0,True,Command-R Plus,"[""luccioni2025c""]",True,1.0,True,29.078,"[""jegham2025""]",False,0.0,True,DeepSeek-R1 (DS),"[""jegham2025""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,Command-R Plus,"[""luccioni2025c""]",True,1.0,True,Qwen 2.5 72B,"[""zschache2025""]",False,0.0,True
q018,In what year was the One Hundred Year Study on Artificial Intelligence launched?,2014,['stone2022'],Quote,year,1,0,0,0,0,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True
q019,"According to the UN's Global E-Waste Monitor 2024, what percentage of e-waste has been formally collected and recycled?",22,['luccioni2025a'],Quote,percent,1,0,0,0,0,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True
